x,xi,t,Q,f,delta f,GPD type,flavor
0.345,0.1428571428571428,-1.248,2.0,0.510634,0.16429650190140993,0,NS
0.355,0.1428571428571428,-1.248,2.0,0.487238,0.15678318844174588,0,NS
0.375,0.1428571428571428,-1.248,2.0,0.440886,0.15,0,NS
0.395,0.1428571428571428,-1.248,2.0,0.395245,0.15,0,NS
0.415,0.1428571428571428,-1.248,2.0,0.350509,0.15,0,NS
0.425,0.1428571428571428,-1.248,2.0,0.328551,0.15,0,NS
0.445,0.1428571428571428,-1.248,2.0,0.285621,0.15,0,NS
0.465,0.1428571428571428,-1.248,2.0,0.244254,0.15,0,NS
0.485,0.1428571428571428,-1.248,2.0,0.204784,0.15,0,NS
0.505,0.1428571428571428,-1.248,2.0,0.167558,0.15,0,NS
0.345,0.1428571428571428,-0.745,2.0,0.590324,0.19280158022391827,0,NS
0.355,0.1428571428571428,-0.745,2.0,0.552646,0.18077872757445773,0,NS
0.375,0.1428571428571428,-0.745,2.0,0.480832,0.15797289609664056,0,NS
0.395,0.1428571428571428,-0.745,2.0,0.413859,0.15,0,NS
0.405,0.1428571428571428,-0.745,2.0,0.382227,0.15,0,NS
0.425,0.1428571428571428,-0.745,2.0,0.322702,0.15,0,NS
0.445,0.1428571428571428,-0.745,2.0,0.268142,0.15,0,NS
0.455,0.1428571428571428,-0.745,2.0,0.242699,0.15,0,NS
0.475,0.1428571428571428,-0.745,2.0,0.195423,0.15,0,NS
0.495,0.1428571428571428,-0.745,2.0,0.152873,0.15,0,NS
0.345,0.1428571428571428,-0.613,2.0,0.696468,0.21872914656295808,0,NS
0.355,0.1428571428571428,-0.613,2.0,0.655242,0.2058277964701561,0,NS
0.375,0.1428571428571428,-0.613,2.0,0.575579,0.18097484851683118,0,NS
0.395,0.1428571428571428,-0.613,2.0,0.499961,0.15749726581083875,0,NS
0.415,0.1428571428571428,-0.613,2.0,0.428737,0.15,0,NS
0.425,0.1428571428571428,-0.613,2.0,0.394861,0.15,0,NS
0.445,0.1428571428571428,-0.613,2.0,0.330716,0.15,0,NS
0.465,0.1428571428571428,-0.613,2.0,0.271527,0.15,0,NS
0.485,0.1428571428571428,-0.613,2.0,0.217454,0.15,0,NS
0.505,0.1428571428571428,-0.613,2.0,0.168638,0.15,0,NS
0.345,0.1428571428571428,-0.343,2.0,0.652968,0.21221036947368996,0,NS
0.355,0.1428571428571428,-0.343,2.0,0.6131,0.19954115185595175,0,NS
0.375,0.1428571428571428,-0.343,2.0,0.536876,0.17541760614271307,0,NS
0.395,0.1428571428571428,-0.343,2.0,0.465254,0.15290485464968076,0,NS
0.415,0.1428571428571428,-0.343,2.0,0.398226,0.15,0,NS
0.425,0.1428571428571428,-0.343,2.0,0.36644,0.15,0,NS
0.445,0.1428571428571428,-0.343,2.0,0.306341,0.15,0,NS
0.465,0.1428571428571428,-0.343,2.0,0.250902,0.15,0,NS
0.485,0.1428571428571428,-0.343,2.0,0.200182,0.15,0,NS
0.505,0.1428571428571428,-0.343,2.0,0.154257,0.15,0,NS
0.345,0.1428571428571428,-0.203,2.0,0.88324,0.28048553778225355,0,NS
0.355,0.1428571428571428,-0.203,2.0,0.830318,0.26365638234292754,0,NS
0.375,0.1428571428571428,-0.203,2.0,0.727628,0.23114257423408613,0,NS
0.395,0.1428571428571428,-0.203,2.0,0.629561,0.2002957581025869,0,NS
0.415,0.1428571428571428,-0.203,2.0,0.53663,0.17126448266059138,0,NS
0.435,0.1428571428571428,-0.203,2.0,0.449308,0.15,0,NS
0.455,0.1428571428571428,-0.203,2.0,0.368029,0.15,0,NS
0.475,0.1428571428571428,-0.203,2.0,0.293217,0.15,0,NS
0.495,0.1428571428571428,-0.203,2.0,0.22528,0.15,0,NS
0.515,0.1428571428571428,-0.203,2.0,0.16457,0.15,0,NS
0.405,0.2,-1.041,2.0,0.473624,0.15,0,NS
0.415,0.2,-1.041,2.0,0.447544,0.15,0,NS
0.425,0.2,-1.041,2.0,0.421706,0.15,0,NS
0.445,0.2,-1.041,2.0,0.370791,0.15,0,NS
0.455,0.2,-1.041,2.0,0.345754,0.15,0,NS
0.475,0.2,-1.041,2.0,0.296667,0.15,0,NS
0.485,0.2,-1.041,2.0,0.272691,0.15,0,NS
0.505,0.2,-1.041,2.0,0.226084,0.15,0,NS
0.515,0.2,-1.041,2.0,0.203542,0.15,0,NS
0.535,0.2,-1.041,2.0,0.160204,0.15,0,NS
0.405,0.2,-0.865,2.0,0.480461,0.15,0,NS
0.415,0.2,-0.865,2.0,0.450447,0.15,0,NS
0.425,0.2,-0.865,2.0,0.420941,0.15,0,NS
0.445,0.2,-0.865,2.0,0.363424,0.15,0,NS
0.455,0.2,-0.865,2.0,0.335431,0.15,0,NS
0.465,0.2,-0.865,2.0,0.307974,0.15,0,NS
0.485,0.2,-0.865,2.0,0.254792,0.15,0,NS
0.495,0.2,-0.865,2.0,0.229138,0.15,0,NS
0.505,0.2,-0.865,2.0,0.204162,0.15,0,NS
0.525,0.2,-0.865,2.0,0.156406,0.15,0,NS
0.405,0.2,-0.493,2.0,0.545778,0.16697916170756158,0,NS
0.415,0.2,-0.493,2.0,0.510723,0.15643071489196106,0,NS
0.425,0.2,-0.493,2.0,0.476337,0.15,0,NS
0.445,0.2,-0.493,2.0,0.409501,0.15,0,NS
0.455,0.2,-0.493,2.0,0.377052,0.15,0,NS
0.465,0.2,-0.493,2.0,0.34527,0.15,0,NS
0.485,0.2,-0.493,2.0,0.283824,0.15,0,NS
0.495,0.2,-0.493,2.0,0.254233,0.15,0,NS
0.505,0.2,-0.493,2.0,0.225454,0.15,0,NS
0.525,0.2,-0.493,2.0,0.170508,0.15,0,NS
0.405,0.2,-0.295,2.0,0.564785,0.17227582644193,0,NS
0.415,0.2,-0.295,2.0,0.524706,0.1602317690729276,0,NS
0.425,0.2,-0.295,2.0,0.485617,0.15,0,NS
0.435,0.2,-0.295,2.0,0.447467,0.15,0,NS
0.445,0.2,-0.295,2.0,0.410225,0.15,0,NS
0.465,0.2,-0.295,2.0,0.338428,0.15,0,NS
0.475,0.2,-0.295,2.0,0.303892,0.15,0,NS
0.485,0.2,-0.295,2.0,0.270295,0.15,0,NS
0.495,0.2,-0.295,2.0,0.237671,0.15,0,NS
0.515,0.2,-0.295,2.0,0.175495,0.15,0,NS
0.345,0.1428571428571428,-0.203,2.0,0.512946,0.3380051997210102,1,NS
0.355,0.1428571428571428,-0.203,2.0,0.438525,0.3128149955520835,1,NS
0.365,0.1428571428571428,-0.203,2.0,0.367378,0.2889619688878798,1,NS
0.375,0.1428571428571428,-0.203,2.0,0.29906,0.2665884411747816,1,NS
0.385,0.1428571428571428,-0.203,2.0,0.233247,0.24586086496189263,1,NS
0.395,0.1428571428571428,-0.203,2.0,0.169721,0.2269648915706788,1,NS
0.345,0.1428571428571428,-0.343,2.0,0.404869,0.21356707112635598,1,NS
0.355,0.1428571428571428,-0.343,2.0,0.350015,0.1962107948642225,1,NS
0.365,0.1428571428571428,-0.343,2.0,0.298547,0.18062539341081033,1,NS
0.375,0.1428571428571428,-0.343,2.0,0.250145,0.16684869580626036,1,NS
0.385,0.1428571428571428,-0.343,2.0,0.204556,0.15489667984253244,1,NS
0.395,0.1428571428571428,-0.343,2.0,0.161578,0.15,1,NS
0.345,0.1428571428571428,-0.613,2.0,0.39697,0.16311960103555917,1,NS
0.355,0.1428571428571428,-0.613,2.0,0.34534,0.15,1,NS
0.365,0.1428571428571428,-0.613,2.0,0.297112,0.15,1,NS
0.375,0.1428571428571428,-0.613,2.0,0.252037,0.15,1,NS
0.385,0.1428571428571428,-0.613,2.0,0.209911,0.15,1,NS
0.395,0.1428571428571428,-0.613,2.0,0.170562,0.15,1,NS
0.345,0.1428571428571428,-0.745,2.0,0.312292,0.15277455079220492,1,NS
0.355,0.1428571428571428,-0.745,2.0,0.251757,0.15,1,NS
0.365,0.1428571428571428,-0.745,2.0,0.196019,0.15,1,NS
0.345,0.1428571428571428,-1.248,2.0,0.19743,0.15,1,NS
0.355,0.1428571428571428,-1.248,2.0,0.18147,0.15,1,NS
0.365,0.1428571428571428,-1.248,2.0,0.167089,0.15,1,NS
0.375,0.1428571428571428,-1.248,2.0,0.154057,0.15,1,NS
0.405,0.2,-0.295,2.0,0.296263,0.15,1,NS
0.415,0.2,-0.295,2.0,0.256025,0.15,1,NS
0.425,0.2,-0.295,2.0,0.218333,0.15,1,NS
0.435,0.2,-0.295,2.0,0.182835,0.15,1,NS
0.405,0.2,-0.493,2.0,0.174319,0.15,1,NS
0.405,0.2,-0.865,2.0,0.340915,0.15,1,NS
0.415,0.2,-0.865,2.0,0.301746,0.15,1,NS
0.425,0.2,-0.865,2.0,0.263983,0.15,1,NS
0.435,0.2,-0.865,2.0,0.227517,0.15,1,NS
0.445,0.2,-0.865,2.0,0.192265,0.15,1,NS
0.455,0.2,-0.865,2.0,0.158172,0.15,1,NS
0.405,0.2,-1.041,2.0,0.19455,0.15,1,NS
0.415,0.2,-1.041,2.0,0.169552,0.15,1,NS
